index,Disease_english,ICD_class,ICD10,reference,reliability,comment
KMN532,Glycogen Storage Disease V,E70-E90,E74.0,orphanet,,
KMN533,Primary Lactase Deficiency,E70-E90,E73.0,who-icd,,congenital lactase deficiency
KMN534,Primary Hypoalphalipoproteinemia,E70-E90,E78.6,who-icd;wikipedia,,
KMN535,Classic Cystinuria,E70-E90,E72.0,who-icd;orphanet,,
KMN536,Hyper Lp(a) lipoproteinemia,E70-E90,E78.4,orphanet,,cholesterol-ester transfer protein deficiency
KMN537,Hyperornithinemia-Hyperammonemia-Homocitrullinuria,E70-E90,E72.4,orphanet,,
KMN538,Hypercystinuria,E70-E90,NO_DATA,,,
KMN539,Hyperoxaluria Type II,E70-E90,E74.8,who-icd;orphanet,,
KMN540,Hyperoxaluria Type I,E70-E90,E74.8,who-icd;orphanet,,
KMN541,Hypervalinemia,E70-E90,E71.1,who-icd,,
KMN542,Hyperhydroxyprolinemia,E70-E90,E72.5,who-icd,,
KMN543,Hyperprolinemia Type II,E70-E90,E72.5,who-icd,,
KMN544,Hyperprolinemia Type I,E70-E90,E72.5,who-icd,,
KMN547,Hyperleucine-Isoleucinemia,E70-E90,E71.1,who-icd,,
KMN548,Hyperuricemia,E70-E90,E79.0,who-icd,,
KMN551,Autosomal Recessive Hypercholesterolemia,E70-E90,E78.0,orphanet,,homozygous familial hypercholesterolemia
KMN552,Neuronal ceroid-lipofuscinosis,E70-E90,E75.4,who-icd;orphanet,,
KMN553,Erythropoietic Protoporphyria,E70-E90,E80.0,who-icd,,
KMN554,Congenital Chloridorrhea,E70-E90,P78.3,orphanet,,congenital chloride diarrhea
KMN555,Congenital Homocystinuria Syndrome,E70-E90,E72.1,who-icd,,
KMN556,Congenital Erythropoietic Porphyria,E70-E90,E80.0,orphanet,,
KMN557,Polygenic Hypercholesterolemia,E70-E90,E78.0,who-icd,,
KMN559,Multiple Carboxylase/Biotinidase Deficiency,E70-E90,E53.8,orphanet,,multiple carboxylase deficiency;biotinidase deficiency
KMN560,Variegate Porphyria,E70-E90,E80.2,orphanet,,variegate porphyria
KMN563,Hypouricemia,E70-E90,E79.8,who-icd;wikipedia,,
KMN564,Dibasic Aminoaciduria,E70-E90,E72.0,who-icd;wikipedia;orphanet,,lysinuric protein intolerance
KMN565,Lactate Dehydrogenase Deficiency,E70-E90,E74.4,orphanet,,glycogen storage disease due to lactate dehydrogenase deficiency
KMN568,Albinism (oculocutaneous),E70-E90,E70.3,orphanet,,oculocutaneous albinism type 1
KMN569,Porphyria Cutanea Tarda,E70-E90,E80.1,cms-gov-2021,,
KMN570,Nonketotic hyperglycinemia-type I,E70-E90,E72.5,orphanet,,glycine encephalopathy
KMN571,Essential Fructosuria,E70-E90,E74.11,cms-gov-2021,,
KMN572,Essential pentosuria,E70-E90,E74.8,who-icd,,
KMN575,Depression,F30-F39,F32,who-icd,,
KMN577,Anorexia Nervosa,F50-F59,F50.0,cms-gov-2021,,
KMN580,Acute Bacterial Meningitis,G00-G09,G00.9,who-icd,,
KMN581,Hypothalamic Encephalitis,G00-G09,G05,who-icd,,
KMN582,Paraneoplastic Encephalomyelitis,G00-G09,G04,who-icd,,
KMN583,Brainstem Encephalitis,G00-G09,G04.8,who-icd;wikipedia,,
KMN584,Encephalomyelitis,G00-G09,G05.1,who-icd,,
KMN585,Limbic Encephalitis,G00-G09,G04.81,wikipedia,,
KMN586,X-Linked Spinobulbar Muscular Atrophy,G10-G13,G12.1,kegg_disease,,
KMN590,Amyotrophic Lateral Sclerosis,G10-G13,G12.21,cms-gov-2021,,
KMN591,Dentatorubropallidoluysian Atrophy,G10-G13,G11.2,kegg_disease,,
KMN594,DOPA-responsive Dystonia,G20-G26,G24.8,orphanet,,
KMN596,Hereditary progressive dystonia,G20-G26,G24.8,orphanet,,dopa responsive dystonia
KMN598,Opsoclonus-Myoclonus,G20-G26,G25.3,orphanet,,
KMN600,Early-onset torsion dystonia,G20-G26,G24.1,orphanet; kegg_disease,,
KMN601,Idiopathic Torsion Dystonia,G20-G26,G24.1,who-icd,,
KMN602,Chorea,G20-G26,G25.5,who-icd,,
KMN616,Miller-Dieker's syndrome,G40-G47,Q04.3,orphanet; kegg_disease,,
KMN617,Epilepsy Syndrome,G40-G47,G49.5,who-icd,,
KMN619,Familial Hemiplegic Migraine,G40-G47,G43.1,who-icd,,
KMN621,Sleep Apnea,G40-G47,G47.3,cms-gov-2021,,
KMN622,MERRF Syndrome,G40-G47,G71.3,cms-gov-2021,,
KMN623,Severe myoclonic epilepsy of infancy,G40-G47,G40.4,orphanet,,dravet syndrome severe myoclonic epilepsy of infancy
KMN624,Generalized Epilepsy with Febrile Convulsions Plus,G40-G47,G40.3,orphanet,,
KMN625,Migraine,G40-G47,G43,cms-gov-2021,,
KMN626,Benign Neonatal Familial Convulsion,G40-G47,G40.3,orphanet,,benign familial neonatal epilepsy
KMN648,Myotonic Dystrophy Type 1,G70-G73,G71.1,who-icd,,
KMN649,Myotonic Dystrophy Type 2,G70-G73,G71.1,who-icd,,
KMN654,Schwartz-Jampel syndrome (chondrodystrophic myotonia),G70-G73,G71.1,who-icd,,
KMN655,Stiff-Person Syndrome,G70-G73,G25.8,who-icd,,
KMN658,Thomsen's Disease,G70-G73,G71.1,who-icd,,
KMN659,Na channel myotonia,G70-G73,G71.1,kegg_disease,,non-dystrophic myotonia
KMN662,Becker's Disease,G70-G73,G71.0,kegg_disease,,dystrophinopathies
KMN663,Mitochondrial DNA Depletion Myopathy,G70-G73,G71.3,web,,
KMN665,Primary merosin deficiency,G70-G73,G71.0,orphanet,,merosin-deficient congenital muscular dystrophy
KMN666,Hereditary Inclusion Body Myopathy,G70-G73,G71.8,who-icd;wikipedia,,
KMN667,Distal Myopathy with Rimmed Vacuoles,G70-G73,G71.8,orphanet,,GNE myopathy
KMN670,Hyperkalemic Periodic Paralysis,G70-G73,G72.3,who-icd;wikipedia,,
KMN673,Limb-Girdle Muscular Dystrophy 1A,G70-G73,G71.0,orphanet,,
KMN674,Limb-Girdle Muscular Dystrophy 1B,G70-G73,NO_DATA,,,found in orphanet but no icd 10
KMN676,Limb-Girdle Muscular Dystrophy 1D,G70-G73,G71.0,orphanet,,
KMN677,Limb-Girdle Muscular Dystrophy 1E,G70-G73,NO_DATA,,,found in orphanet but no icd 10
KMN678,Limb-Girdle Muscular Dystrophy 2A,G70-G73,G71.0,orphanet,,calpain-3-related limb-girdle muscular dystrophy R1
KMN680,Limb-Girdle Muscular Dystrophy 2C,G70-G73,G71.0,orphanet,,gamma-sarcoglycan-related limb-girdle muscular dystrophy R5
KMN681,Limb-Girdle Muscular Dystrophy 2D,G70-G73,G71.0,orphanet,,alpha-sarcoglycan-related limb-girdle muscular dystrophy R3
KMN682,Limb-Girdle Muscular Dystrophy 2E,G70-G73,G71.0,orphanet,,beta-sarcoglycan-related limb-girdle muscular dystrophy R4
KMN683,Limb-Girdle Muscular Dystrophy 2F,G70-G73,G71.0,orphanet,,delta-sarcoglycan-related limb-girdle muscular dystrophy R6
KMN684,Limb-Girdle Muscular Dystrophy 2G,G70-G73,G71.0,orphanet,,telethonin-related limb-girdle muscular dystrophy R7
KMN685,Limb-Girdle Muscular Dystrophy 2H,G70-G73,G71.0,orphanet,,TRIM32-related limb-girdle muscular dystrophy R8
KMN686,Limb-Girdle Muscular Dystrophy 2I,G70-G73,G71.0,orphanet,,FKRP-related limb-girdle muscular dystrophy R9
KMN687,Limb-Girdle Muscular Dystrophy 2J,G70-G73,G71.0,orphanet,,titin-related limb-girdle muscular dystrophy R10
KMN688,Neuromyotonia,G70-G73,G71.1,who-icd,,
KMN693,Hypokalemic Periodic Paralysis,G70-G73,G72.3,who-icd,,
KMN696,Familial Spastic Paraplegia,G80-G83,G82.1,who-icd,,
KMN703,Paraneoplastic Retinopathy,H30-H36,H36,web,,
KMN704,Diabetic Proliferative Retinopathy,H30-H36,H35.2,cms-gov-2021,,
KMN705,Gyrate Atrophy of the Choroid and Retina,H30-H36,E72.4,orphanet,,
KMN706,Glaucoma,H40-H42,H40,cms-gov-2021,,
KMN711,11beta-hydroxysteroid dehydrogenase deficiency,I10-I15,E25.8;E26.1,orphanet,,
KMN712,11beta-hydroxylase deficiency,I10-I15,E25.0,orphanet,,congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency
KMN714,Hypertension under acute psychological stress,I10-I15,NO_DATA,,,
KMN715,Juvenile hypertension,I10-I15,NO_DATA,,,
KMN716,Renovascular Hypertension,I10-I15,I15.0,cms-gov-2021,,
KMN717,Renal Parenchymal Hypertension,I10-I15,NO_DATA,,,
KMN718,Endocrine hypertension,I10-I15,I15.2,cms-gov-2021,,hypertension secondary to endocrine disorders
KMN719,Essential Hypertension,I10-I15,I10,cms-gov-2021,,essential (primary) hypertension
KMN729,Pulmonary Thromboembolism,I26-I28,I27.2,cms-gov-2021,,Chronic thromboembolic pulmonary hypertension
KMN730,Pulmonary Embolism,I26-I28,I26,cms-gov-2021,,
KMN733,Catecholamine VT,I30-I52,I47.2,orphanet,,catecholaminergic polymorphic ventricular tachycardia
KMN734,Jorvell and Lange-Nielsen Syndrome,I30-I52,I45.8,orphanet,,Jervell and Lange-Nielsen syndrome
KMN737,Acute Pericarditis,I30-I52,I30,cms-gov-2021,,
KMN742,Aneurysm,I70-I79,I71;I72,cms-gov-2021,,
KMN748,Bronchiectasis,J40-J47,J47,cms-gov-2021,,
KMN749,Emphysema,J40-J47,J43,cms-gov-2021,,
KMN750,Chronic Obstructive Pulmonary Disease,J40-J47,J44,cms-gov-2021,,
KMN752,Hypersensitivity Pneumonitis,J60-J70,J67,orphanet,,
KMN758,Type A Gastritis,K20-K31,K29.4,who-icd;wikipedia,,gastric atrophy
KMN759,Menetrier's Disease,K20-K31,K29.6,orphanet,,
KMN760,Gastroesophageal regurgitation,K20-K31,K21.9,cms-gov-2021,,Gastro-esophageal reflux disease without esophagitis
KMN761,Peptic Ulcer Disease,K20-K31,K27.9,cms-gov-2021,,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation"
KMN764,Mesenteric Venous Thrombosis,K55-K63,NO_DATA,,,
KMN774,Gallstone,K80-K87,K80.5,who-icd,,
KMN782,Lymphomatoid Papulosis,L40-L45,C86.6,orphanet,low,
KMN784,Urticaria,L50-L54,L50,cms-gov-2021,,
KMN785,Papular Mucinosis,L80-L99,L98.5,orphanet,,
KMN786,Lichen Myxedematosus,L80-L99,L98.5,orphanet,,
KMN787,Psoriatic Arthritis,M05-M14,L40.5,cms-gov-2021,,Psoriatic arthritis mutilans
KMN789,Adult Still's disease,M05-M14,M06.1,orphanet,,adult-onset Still disease
KMN790,Monosodium Urate Gout,M05-M14,M10,kegg_disease,,gout
KMN791,CPPD Deposition Disease,M05-M14,M11,cms-gov-2021,,non-gout crystal arthropathy
KMN792,Uric Acid Nephropathy,M05-M14,NO_DATA,,,
KMN793,Reactive Arthritis,M05-M14,M02.3,orphanet,,
KMN797,Wegener's Granulomatosis,M30-M36,M31.3,cms-gov-2021,,
KMN798,Goodpasture's Syndrome,M30-M36,M31.0,orphanet,,anti-glomerular basement membrane disease
KMN800,Behcet's Syndrome,M30-M36,M35.2,orphanet,,
KMN806,Anti-Glomerular Basement Membrane Disease,M30-M36,M31.0,orphanet,,
KMN809,Polymyositis,M30-M36,M33.2,cms-gov-2021,,
KMN810,Dermatomyositis,M30-M36,M33.0;M33.1,orphanet,,
KMN820,Hypertrophic Osteoarthropathy,M86-M90,M89.4,orphanet,,primary hypertrophic osteoarthropathy
KMN823,Light Chain Deposition Disease,N00-N08,D89.8,orphanet,,not matching
KMN824,Cryoglobulinemia Glomerulopathy,N00-N08,D89.1,cms-gov-2021,,Cryoglobulinemia
KMN825,Mesangioproliferative Glomerulonephritis,N00-N08,N00.5,cms-gov-2021,,Acute nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
KMN828,Focal and Segmental Glomerulosclerosis,N00-N08,N05.1,kegg_disease,low,focal segmental glomeruloscierosis
KMN830,Idiopathic Renal-Limited Crescentic Glomerulonephritis,N00-N08,N01.9,kegg_disease,low,rapidly progressive glomerulonephritis
KMN831,Crescentic Glomerulonephritis,N00-N08,N01.9,kegg_disease,low,rapidly progressive glomerulonephritis
KMN832,Minimal Change Disease,N00-N08,NO_DATA,,,
KMN833,Membranous Glomerulopathy,N00-N08,N04.2,orphanet,,primary membranous glomerulonephritis
KMN835,Thin Basement Membrane Nephropathy,N00-N08,N05.8,who-icd;wikipedia,,
KMN838,Type 1 Renal Tubular Acidosis,N25-N29,N25.8,orphanet,,distal renal tubular acidosis
KMN839,Type 2 Renal Tubular Acidosis,N25-N29,N25.8,orphanet,,proximal renal tubular acidosis
KMN840,Type 3 Renal Tubular Acidosis,N25-N29,Q78.2,orphanet,low,osteropetrosis with renal tubular acidosis
KMN841,Type 4 Renal Tubular Acidosis,N25-N29,NO_DATA,,,
KMN842,Renal osteodystrophy,N25-N29,N25.0,cms-gov-2021,,
KMN853,Congenital Heart Disease,Q20-Q28,Q24.9,who-icd;csm-gov-2021,,"Congenital malformation of heart, unspecified"
KMN856,Mayer-Rokitansky-Kuster-Hauser Syndrome,Q50-Q56,Q51.8,orphanet,,
KMN857,Leydig Cell Hypoplasia,Q50-Q56,Q56.1,orphanet,,
KMN858,Gonadal Dysgenesis,Q50-Q56,Q96.9;Q99.1,who-icd,,
KMN573,Abetalipoproteinemia,E70-E90,E78.6,who-icd,,
KMN874,Achondrodysplasia,Q65-Q79,Q77.4,web;cms-gov-2021,,achondroplasia
KMN561,Acrodermatitis Enteropathica,E70-E90,E83.2,who-icd,,
KMN340,Acromegaly,E20-E35,E22.0,who-icd,,
KMN640,Acute Inflammatory Demyelinating Polyneuropathy,G50-G59,G61.8,orphanet,,subacute inflammatory demyelinating polyneuropathy
KMN639,Acute Motor Axonal Neuropathy,G50-G59,G61.0,orphanet,,
KMN105,Acute Myeloid Leukemia,C81-C96,C94.2,who-icd,,
KMN773,Acute Pancreatitis,K80-K87,K85,,,
KMN638,Acute Pharyngeal Cervicobrachial Neuropathy,G50-G59,G61.0,web,low,guillain-barre syndrome
KMN754,Acute Respiratory Distress Syndrome,J80-J84,J80,,,
KMN7,Acute Viral Meningitis,A80-A89,A87.9,web;cms-gov-2021,,"Viral meningitis, unspecified"
KMN722,Acute coronary syndrome,I20-I25,I24.9,who-icd,,
KMN312,Addison's Disease,E20-E35,E27.1,who-icd,,
KMN389,Adenine Phosphoribosyltransferase Deficiency,E70-E90,E79.8,orphanet,,
KMN258,Adenosine Deaminase Deficiency,D80-D89,D81.3,who-icd,,
KMN388,Adenylosuccinate Lyase Deficiency,E70-E90,E79.8,orphanet,,
KMN77,Adrenal Carcinoma,C73-C75,C74.0,who-icd,,
KMN779,Afferent Loop Syndrome,K90-K93,K91.8,who-icd,,
KMN232,Afibrinogenemia,D65-D69,D65,who-icd,,
KMN702,Age-Related Macular Degeneration,H30-H36,H35.2,web;cms-gov-2021,,
KMN854,Alagille Syndrome,Q38-Q45,Q44.7,who-icd,,
KMN765,Alcoholic Cirrhosis,K70-K77,K70.3,who-icd,,
KMN391,Alkaptonuria,E70-E90,E70.2,who-icd,,
KMN11,Allergic Bronchopulmonary Aspergillosis,B35-B49,B44.81,,,
KMN747,Allergic Rhinitis,J30-J39,J30,who-icd,,
KMN699,Allergic conjunctivitis,H10-H13,H10.1,who-icd,,
KMN781,Allergic contact dermatitis,L20-L30,L23,,,
KMN876,Alport's Syndrome,Q80-Q89,Q87.8,who-icd,,
KMN45,Alveolar Soft Part Sarcoma,C45-C49,C49.9,who-icd,,
KMN603,Alzheimer's Disease,G30-G32,G30,,,
KMN900,Anaphylaxis,T66-T78,T78.2,who-icd,,
KMN68,Anaplastic astrocytoma,C69-C72,C71.9,who-icd,,
KMN314,Androgen Insensitivity Syndrome,E20-E35,E34.5,,,
KMN725,Angina pectoris,I20-I25,I20,,,
KMN812,Ankylosing Spondylitis,M45-M49,M45,,,
KMN606,Anti-Hu Paraneoplastic Neuropathy,G30-G32,G13.0,web;cms-gov-2021,,Paraneoplastic neuromyopathy and neuropathy
KMN274,Antigen Peptide Transporter Deficiency,D80-D89,NO_DATA,,,
KMN713,Apparent Mineralocorticoid Excess Syndrome,I10-I15,E26.1,orphanet,,
KMN313,Aromatase Deficiency,E20-E35,E25.8,orphanet,,
KMN387,Aspartylglucosaminuria,E70-E90,E77.1,who-icd,,
KMN751,Asthma,J40-J47,J45,,,
KMN67,Astrocytoma,C69-C72,C71.9,who-icd,,
KMN593,Ataxia Telangiectasia,G10-G13,G11.3,who-icd,,
KMN740,Atherosclerosis,I70-I79,I70,,,
KMN780,Atopic Dermatitis,L20-L30,L20,,,
KMN579,Autism,F80-F89,F84,who-icd,,
KMN697,Autoimmune Autonomic Neuropathy,G90-G99,G99.0,web;cms-gov-2021,,Autonomic neuropathy in diseases classified elsewhere
KMN698,Autonomic Neuropathy,G90-G99,G99.0,who-icd,,
KMN550,Autosomal Dominant Hypophosphatemic Rickets,E70-E90,E83.3,orphanet,,
KMN862,Autosomal Dominant Polycystic Kidney Disease,Q60-Q64,Q61.2,who-icd,,
KMN709,Autosomal Dominant Progressive Deafness,H90-H95,H91.9,kegg_disease,,
KMN707,Autosomal Dominant Progressive External Ophthalmoplegia,H49-H52,H49.4,orphanet,,
KMN278,Autosomal Recessive Agammaglobulinemia,D80-D89,D80.0,who-icd,,
KMN587,Autosomal Recessive Spastic Ataxia of Charlevoix-Saguenay,G10-G13,G11.1,orphanet,,
KMN607,Axonal Sensorimotor Neuropathy,G30-G32,G60.0,orphanet,,Autosomal recessive lethal neonatal axonal sensorimotor polyneuropathy
KMN246,BLNK Deficiency,D80-D89,D80.0,orphanet,,x-linked agammaglobulinemia
KMN878,Bardet-Biedl Syndrome,Q80-Q89,Q87.8,who-icd,,
KMN323,Bartter Syndrome,E20-E35,E26.8,who-icd,,
KMN34,Basal Cell Carcinoma,C43-C44,C44.0,who-icd,,
KMN661,Becker Muscular Dystrophy,G70-G73,G71.0,who-icd,,
KMN772,Benign Recurrent Intrahepatic Cholestasis,K70-K77,K83.1,orphanet,,
KMN365,Beriberi,E50-E64,E51.1,,,
KMN215,Bernard-Soulier Syndrome,D65-D69,D69.1,who-icd,,
KMN576,Bipolar Disorder,F30-F39,F31,,,
KMN61,Bladder Cancer,C64-C68,C67,who-icd,,
KMN880,Bloom Syndrome,Q80-Q89,Q82.8,who-icd,,
KMN47,Breast Cancer,C50-C50,C50,who-icd,,
KMN735,Brugada Syndrome,I30-I52,I49.8,,,
KMN897,Bulimia Nervosa,R50-R69,F50.2,,,
KMN97,Burkitt's Lymphoma,C81-C96,C83.7,who-icd,,
KMN614,CADASIL,G35-G37,I67.8,orphanet,,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy
KMN247,CD40 Deficiency,D80-D89,D80.5,orphanet,,X-linked hyper-IgM syndrome
KMN248,CD8 Deficiency,D80-D89,D84.8,orphanet,,Susceptibility to respiratory infections associated with CD8alpha chain mutation
KMN813,Calcific Tendinitis,M65-M68,M65.2,,,
KMN866,Campomelic Dysplasia,Q65-Q79,Q87.1,orphanet,,Campomelic dysplasia
KMN78,Carcinoid Tumor,C76-C80,E34.0,orphanet,,carcinoid syndrome
KMN136,Carney Complex,D10-D36,D44.8,orphanet,,
KMN641,Carpal Tunnel Syndrome,G50-G59,G56.0,,,
KMN872,Cartilage-Hair Hypoplasia,Q65-Q79,Q78.8,orphanet,,
KMN155,Castleman's Disease,D37-D48,D47.4,who-icd,,
KMN701,Cataract,H25-H28,H26,who-icd,,
KMN775,Celiac Sprue,K90-K93,K90.0,web;cms-gov-2021,,Celiac disease
KMN656,Central Core Disease,G70-G73,G71.2,who-icd,,
KMN692,Centronuclear Myopathy,G70-G73,G71.22,,,
KMN567,Cerebrotendinous xanthomatosis,E70-E90,E75.5,who-icd,,
KMN628,Charcot-Marie-Tooth Disease Type 1,G50-G59,G60.0,orphanet,,
KMN629,Charcot-Marie-Tooth Disease Type 2,G50-G59,G60.0,orphanet,,
KMN437,Chediak-Higashi Syndrome,E70-E90,E70.330,,,
KMN620,Childhood absence epilepsy,G40-G47,G40.3,who-icd,,
KMN21,Cholangiocarcinoma,C15-C26,C22.1,who-icd,,
KMN873,Chondrodysplasia,Q65-Q79,Q77.3,who-icd,,
KMN33,Chondrosarcoma,C40-C41,C41.9,who-icd,,
KMN54,Choriocarcinoma,C51-C58,C58,who-icd,,
KMN245,Chronic Granulomatous Disease,D70-D77,D71,who-icd,,
KMN645,Chronic Inflammatory Demyelinating Polyneuropathy,G50-G59,G61.8,orphanet,,
KMN647,Chronic Sensory Ataxic Neuropathy,G50-G59,G61.8,orphanet,,
KMN646,Chronic Sensory Motor Neuropathy,G50-G59,G60.0,web;cms-gov-2021,low,Hereditary motor and sensory neuropathy
KMN885,Cleidocranial dysplasia,Q80-Q89,Q74.0,orphanet,,
KMN20,Colorectal Cancer,C15-C26,C18,orphanet,,familial colorectal cancer type X
KMN342,Congenital Adrenal Hyperplasia,E20-E35,E25.0,who-icd,,
KMN643,Congenital Hypomyelination,G50-G59,G37.8,orphanet,,hypomyelination-congenital cataract syndrome
KMN691,Congenital Myasthenic Syndrome,G70-G73,G70.2,orphanet,,
KMN224,Congenital amegakaryocytic thrombocytopenia,D65-D69,D61.0,orphanet,,
KMN721,Coronary vasospasm,I20-I25,I20.1,who-icd,,
KMN153,Cowden's syndrome,D37-D48,Q85.8,orphanet,,cowden syndrome
KMN5,Creutzfeldt-Jakob Disease,A80-A89,A81.0,,,
KMN415,Crigler-Najjar Syndrome,E70-E90,E80.5,,,
KMN762,Crohn's Disease,K50-K52,K50,who-icd,,
KMN95,Crow-Fukase Syndrome,C81-C96,D47.7,orphanet,,POEMS syndrome
KMN859,Cryptorchidism,Q50-Q56,Q53,who-icd,,
KMN318,Cushing's Syndrome,E20-E35,E24,,,
KMN426,Cystathioninuria,E70-E90,E72.1,who-icd,,
KMN566,Cystic Fibrosis,E70-E90,E84,,,
KMN427,Cystinosis,E70-E90,E72.04,,,
KMN249,DNA Ligase IV Deficiency,D80-D89,D81.1,orphanet,,LIG4 syndrome
KMN743,Deep Venous Thrombosis,I80-I89,I82.4,web;cms-gov-2021,,Acute embolism and thrombosis of unspecified deep veins
KMN180,Deficiency of Transcobalamin II,D50-D53,D51.2,who-icd,,
KMN630,Dejerine-Sottas Disease,G50-G59,G60.0,who-icd,,
KMN604,Dementia with Lewy Bodies,G30-G32,G31.83,,,
KMN860,Denys-Drash Syndrome,Q60-Q64,N04.1,orphanet,,
KMN266,DiGeorge Syndrome,D80-D89,D82.1,who-icd,,
KMN303,Diabetic Ketoacidosis,E10-E14,E14.1,who-icd,,
KMN829,Diabetic Nephropathy,N00-N08,N08.3,who-icd,,
KMN304,Diabetic neuropathy,E10-E14,E10.4,who-icd,,
KMN431,Dicarboxylic Aminoaciduria,E70-E90,E72.0,orphanet,,
KMN432,Dihydropyrimidinase Deficiency,E70-E90,E79.8,orphanet,,dihyfropyrimidinuria
KMN433,Dihydropyrimidine Dehydrogenase Deficiency,E70-E90,E79.8,orphanet,,
KMN736,Dilated Cardiomyopathy,I30-I52,I42.0,,,
KMN231,Disseminated Intravascular Coagulation,D65-D69,D65,,,
KMN895,Down's Syndrome,Q90-Q99,Q90,who-icd,,
KMN443,Dubin-Johnson Syndrome,E70-E90,E80.6,who-icd,,
KMN657,Duchenne Muscular Dystrophy,G70-G73,G71.0,who-icd,,
KMN133,Ductal Carcinoma in Situ,D00-D09,D05.1,who-icd,,
KMN776,Dumping Syndrome,K90-K93,K91.1,who-icd,,
KMN890,Dyskeratosis Congenita,Q80-Q89,Q82.8,orphanet,,
KMN863,Ehlers-Danlos Syndrome,Q65-Q79,Q79.6,who-icd,,
KMN79,Embryonal Carcinoma,C76-C80,C22.7,who-icd,,
KMN652,Emery-Dreifuss Muscular Dystrophy,G70-G73,G71.0,who-icd,,
KMN83,Endodermal Sinus Tumor,C76-C80,C56,who-icd,,
KMN50,Endometrial Cancer,C51-C58,C54.1,who-icd,,
KMN845,Endometriosis,N80-N98,N80,,,
KMN805,Eosinophilic Granulomatosis with Polyangiitis,M30-M36,M30.1,orphanet,,
